id,name,tier,tierName,line,family,type,attribute,rarity,emoji,hidden
gh_angel2,수호천사,2,완전체,gh,신성·악마형,천사형,light,epic,👼,false
gh_angel3,창공신,3,궁극체,gh,신성·악마형,신인형,light,legendary,🕊️,false
gh_demon1,꼬마악마,1,성숙기,gh,신성·악마형,악마형,dark,epic,😈,false
gh_demon2,타천사,2,완전체,gh,신성·악마형,타천사형,light,epic,🦇,false
gh_demon3,마왕,3,궁극체,gh,신성·악마형,마왕형,dark,legendary,👹,false
dl,헝겊인형,0,성장기,dl,사물·인공물형,인형형,neutral,rare,🧸,false
dl_puppet1,꼭두각시,1,성숙기,dl,사물·인공물형,인형형,neutral,rare,🎎,false
dl_puppet2,마리오네트,2,완전체,dl,사물·인공물형,인형형,neutral,epic,🪅,false
dl_puppet3,인형술사,3,궁극체,dl,인간형,마법사형,neutral,legendary,🎭,false
dl_knight1,나무병정,1,성숙기,dl,사물·인공물형,인형형,grass,rare,🪖,false
dl_knight2,강철기사,2,완전체,dl,인간형,기사형,earth,epic,⚔️,false
dl_knight3,성기사,3,궁극체,dl,인간형,성기사형,light,legendary,🛡️,false
sl,말랑이,0,성장기,sl,생물형,슬라임형,grass,common,🫧,false
sl_chi1,합체젤리,1,성숙기,sl,혼합·이형형,합성형,neutral,common,🟣,false
sl_chi2,키메라젤,2,완전체,sl,혼합·이형형,키메라형,neutral,rare,🧬,false
sl_chi3,혼돈체,3,궁극체,sl,혼합·이형형,돌연변이형,earth,epic,🌀,false
sl_rb1,무지개젤,1,성숙기,sl,혼합·이형형,이형형,neutral,common,🌈,false
sl_rb2,프리즘,2,완전체,sl,혼합·이형형,이형형,neutral,rare,💠,false
sl_rb3,무지개신,3,궁극체,sl,신성·악마형,신인형,light,legendary,🌈,false
bd,병아리,0,성장기,bd,생물형,조류형,wind,common,🐤,false
bd_fire1,불새끼,1,성숙기,bd,생물형,조류형,fire,common,🔥,false
bd_fire2,화조,2,완전체,bd,생물형,조류형,fire,rare,🦃,false
bd_fire3,봉황,3,궁극체,bd,신성·악마형,신인형,fire,legendary,🔥,false
bd_ice1,서리새,1,성숙기,bd,생물형,조류형,water,common,❄️,false
bd_ice2,빙조,2,완전체,bd,생물형,조류형,water,rare,🕊️,false
bd_ice3,설풍조,3,궁극체,bd,생물형,조류형,water,epic,🦢,false
aq,올챙이,0,성장기,aq,생물형,수생형,water,common,🐸,false
aq_frog1,개구리,1,성숙기,aq,생물형,양서류형,water,common,🐸,false
aq_frog2,왕개구리,2,완전체,aq,생물형,양서류형,water,rare,🐸,false
aq_frog3,우신,3,궁극체,aq,신성·악마형,신인형,water,epic,🌧️,false
aq_fish1,송사리,1,성숙기,aq,생물형,수생형,water,common,🐟,false
aq_fish2,상어,2,완전체,aq,생물형,수생형,water,rare,🦈,false
aq_fish3,심해왕,3,궁극체,aq,생물형,수생형,water,legendary,🐋,false
bg,애벌레,0,성장기,bg,생물형,곤충형,wind,common,🐛,false
bg_fly1,나비번데기,1,성숙기,bg,생물형,곤충형,wind,common,🦋,false
bg_fly2,나비요정,2,완전체,bg,생물형,곤충형,wind,rare,🦋,false
bg_fly3,꽃의여왕,3,궁극체,bg,신성·악마형,천사형,grass,epic,🌸,false
bg_beetle1,뿔벌레,1,성숙기,bg,생물형,곤충형,wind,common,🪲,false
bg_beetle2,장수풍뎅,2,완전체,bg,생물형,곤충형,wind,rare,🐞,false
bg_beetle3,갑충왕,3,궁극체,bg,생물형,곤충형,wind,epic,👑,false
fd,반죽이,0,성장기,fd,사물·인공물형,음식형,neutral,common,🍡,false
fd_sweet1,컵케이크,1,성숙기,fd,사물·인공물형,음식형,neutral,common,🧁,false
fd_sweet2,디저트킹,2,완전체,fd,사물·인공물형,음식형,neutral,rare,🍰,false
fd_sweet3,슈가신,3,궁극체,fd,사물·인공물형,음식형,neutral,epic,🍭,false
fd_spicy1,떡볶이,1,성숙기,fd,사물·인공물형,음식형,fire,common,🌶️,false
fd_spicy2,불맛고수,2,완전체,fd,사물·인공물형,음식형,fire,rare,🔥,false
fd_spicy3,매운맛군주,3,궁극체,fd,사물·인공물형,음식형,fire,epic,👹,false
kn,견습생,0,성장기,kn,인간형,수행자형,neutral,rare,🧒,false
kn_war1,검사,1,성숙기,kn,인간형,전사형,neutral,rare,⚔️,false
kn_war2,기사,2,완전체,kn,인간형,기사형,neutral,epic,🛡️,false
kn_war3,성검사,3,궁극체,kn,인간형,성기사형,light,legendary,🗡️,false
kn_mage1,견습마법사,1,성숙기,kn,인간형,마법사형,neutral,rare,🪄,false
kn_mage2,마법사,2,완전체,kn,인간형,마법사형,neutral,epic,🧙,false
kn_mage3,대현자,3,궁극체,kn,인간형,현자형,neutral,legendary,🔮,false
dr,새끼용,0,성장기,dr,생물형,용형,grass,rare,🐲,false
dr_fire1,화룡,1,성숙기,dr,생물형,용형,fire,rare,🔥,false
dr_fire2,폭염룡,2,완전체,dr,생물형,용형,fire,epic,🐉,false
dr_fire3,종말룡,3,궁극체,dr,신성·악마형,마왕형,fire,legendary,🌋,false
dr_ice1,빙룡,1,성숙기,dr,생물형,용형,water,rare,❄️,false
dr_ice2,서리룡,2,완전체,dr,생물형,용형,water,epic,🐉,false
dr_ice3,빙하룡,3,궁극체,dr,신성·악마형,신인형,water,legendary,🧊,false
un,꼬마미라,0,성장기,un,신성·악마형,언데드형,dark,common,🧟,false
un_zombie1,좀비,1,성숙기,un,신성·악마형,언데드형,dark,common,🧟,false
un_zombie2,구울,2,완전체,un,신성·악마형,언데드형,dark,rare,💀,false
un_zombie3,리치,3,궁극체,un,신성·악마형,마왕형,dark,epic,☠️,false
un_vamp1,박쥐,1,성숙기,un,신성·악마형,악마형,dark,common,🦇,false
un_vamp2,뱀파이어,2,완전체,un,인간형,악마형,dark,rare,🧛,false
un_vamp3,진조,3,궁극체,un,신성·악마형,마왕형,dark,legendary,🩸,false
mt,광석이,0,성장기,mt,사물·인공물형,광물형,water,common,🪨,false
mt_gem1,원석,1,성숙기,mt,사물·인공물형,광물형,water,common,💎,false
mt_gem2,보석수,2,완전체,mt,사물·인공물형,광물형,water,rare,💍,false
mt_gem3,프리즘신,3,궁극체,mt,혼합·이형형,이형형,neutral,epic,🔆,false
mt_golem1,돌골렘,1,성숙기,mt,사물·인공물형,광물형,water,common,🗿,false
mt_golem2,바위거인,2,완전체,mt,생물형,거인형,earth,rare,🏔️,false
mt_golem3,대지신,3,궁극체,mt,신성·악마형,신인형,earth,legendary,🌍,false
st,별똥별,0,성장기,st,신성·악마형,천체형,light,epic,💫,false
st_star1,작은별,1,성숙기,st,신성·악마형,천체형,light,epic,⭐,false
st_star2,혜성,2,완전체,st,신성·악마형,천체형,light,epic,☄️,false
st_star3,성좌신,3,궁극체,st,신성·악마형,신인형,light,legendary,🌟,false
st_dark1,그믐,1,성숙기,st,신성·악마형,천체형,dark,epic,🌑,false
st_dark2,블랙홀,2,완전체,st,혼합·이형형,이형형,dark,epic,🕳️,false
st_dark3,공허신,3,궁극체,st,혼합·이형형,돌연변이형,earth,legendary,🌌,false
dog,멍멍이,0,성장기,dog,생물형,포유류형,grass,common,🐶,false
dog_w1,진돗개,1,성숙기,dog,생물형,야수형,grass,common,🐕,false
dog_w2,사냥개,2,완전체,dog,생물형,야수형,grass,rare,🐕‍🦺,false
dog_w3,늑대왕,3,궁극체,dog,생물형,야수형,grass,epic,🐺,false
dog_f1,불개,1,성숙기,dog,생물형,야수형,fire,common,🔥,false
dog_f2,화염견,2,완전체,dog,생물형,야수형,fire,rare,🐕,false
dog_f3,천견신,3,궁극체,dog,신성·악마형,신인형,light,legendary,🐕,false
cat,아깽이,0,성장기,cat,생물형,포유류형,grass,common,🐱,false
cat_t1,줄무늬냥,1,성숙기,cat,생물형,야수형,grass,common,🐈,false
cat_t2,호랑이냥,2,완전체,cat,생물형,야수형,grass,rare,🐯,false
cat_t3,백수묘제,3,궁극체,cat,생물형,야수형,grass,epic,👑,false
cat_n1,검은냥,1,성숙기,cat,생물형,야수형,grass,common,🐈‍⬛,false
cat_n2,그림자냥,2,완전체,cat,신성·악마형,악마형,dark,rare,🐈‍⬛,false
cat_n3,마녀냥,3,궁극체,cat,신성·악마형,마왕형,dark,legendary,🧙,false
rab,토끼풀,0,성장기,rab,생물형,포유류형,grass,common,🐰,false
rab_m1,달토끼,1,성숙기,rab,생물형,포유류형,grass,common,🐇,false
rab_m2,옥토끼,2,완전체,rab,신성·악마형,천체형,dark,rare,🌙,false
rab_m3,월광토신,3,궁극체,rab,신성·악마형,신인형,light,legendary,🌝,false
rab_h1,뿔토끼,1,성숙기,rab,생물형,포유류형,grass,common,🐇,false
rab_h2,가시토끼,2,완전체,rab,생물형,야수형,grass,rare,🐇,false
rab_h3,뿔왕토,3,궁극체,rab,생물형,야수형,grass,epic,👑,false
bear,아기곰,0,성장기,bear,생물형,포유류형,grass,common,🐻,false
bear_p1,반달곰,1,성숙기,bear,생물형,야수형,grass,common,🐻,false
bear_p2,큰곰,2,완전체,bear,생물형,야수형,grass,rare,🐻,false
bear_p3,산신곰,3,궁극체,bear,신성·악마형,신인형,light,legendary,🐻,false
bear_i1,얼음곰,1,성숙기,bear,생물형,야수형,water,common,❄️,false
bear_i2,빙하곰,2,완전체,bear,생물형,야수형,water,rare,🧊,false
bear_i3,설산신곰,3,궁극체,bear,신성·악마형,신인형,light,epic,⛄,false
fox,새끼여우,0,성장기,fox,생물형,포유류형,grass,rare,🦊,false
fox_f1,불여우,1,성숙기,fox,생물형,야수형,fire,rare,🔥,false
fox_f2,화염호,2,완전체,fox,생물형,야수형,fire,epic,🦊,false
fox_f3,천호신,3,궁극체,fox,신성·악마형,신인형,light,legendary,🦊,false
fox_n1,그림자여우,1,성숙기,fox,신성·악마형,악마형,dark,rare,🦊,false
fox_n2,요호,2,완전체,fox,신성·악마형,악마형,dark,epic,🦊,false
fox_n3,구미호,3,궁극체,fox,신성·악마형,마왕형,dark,legendary,🦊,false
pen,아기펭귄,0,성장기,pen,생물형,조류형,wind,common,🐧,false
pen_e1,황제펭귄,1,성숙기,pen,생물형,조류형,wind,common,🐧,false
pen_e2,빙판펭귄,2,완전체,pen,생물형,조류형,water,rare,❄️,false
pen_e3,빙제펭귄,3,궁극체,pen,생물형,수생형,water,epic,🧊,false
pen_s1,바다펭귄,1,성숙기,pen,생물형,수생형,water,common,🌊,false
pen_s2,잠수펭귄,2,완전체,pen,생물형,수생형,grass,rare,🐧,false
pen_s3,심해펭귄,3,궁극체,pen,생물형,수생형,water,legendary,🐋,false
tur,꼬마거북,0,성장기,tur,생물형,수생형,water,common,🐢,false
tur_s1,바다거북,1,성숙기,tur,생물형,수생형,water,common,🐢,false
tur_s2,대왕거북,2,완전체,tur,생물형,수생형,water,rare,🐢,false
tur_s3,해신귀,3,궁극체,tur,신성·악마형,신인형,water,epic,🐢,false
tur_l1,돌거북,1,성숙기,tur,사물·인공물형,광물형,water,common,🪨,false
tur_l2,바위귀,2,완전체,tur,생물형,거인형,earth,rare,🗿,false
tur_l3,만년귀신,3,궁극체,tur,신성·악마형,신인형,light,legendary,🐢,false
deer,아기사슴,0,성장기,deer,생물형,포유류형,grass,common,🦌,false
deer_w1,숲사슴,1,성숙기,deer,생물형,포유류형,grass,common,🌿,false
deer_w2,정령사슴,2,완전체,deer,생물형,식물형,water,rare,🦌,false
deer_w3,숲의정령록,3,궁극체,deer,신성·악마형,성수형,grass,legendary,🌳,false
deer_s1,순록,1,성숙기,deer,생물형,포유류형,grass,common,🦌,false
deer_s2,설원록,2,완전체,deer,생물형,야수형,grass,rare,❄️,false
deer_s3,오로라록,3,궁극체,deer,신성·악마형,신인형,light,epic,🦌,false
cap,카피바라,0,성장기,cap,생물형,포유류형,grass,common,🦫,false
cap_w1,온천바라,1,성숙기,cap,생물형,수생형,water,common,♨️,false
cap_w2,호수바라,2,완전체,cap,생물형,수생형,water,rare,🦫,false
cap_w3,호수신,3,궁극체,cap,신성·악마형,신인형,water,epic,🌊,false
cap_g1,들바라,1,성숙기,cap,생물형,포유류형,grass,common,🦫,false
cap_g2,초원바라,2,완전체,cap,생물형,식물형,water,rare,🌿,false
cap_g3,초원수호신,3,궁극체,cap,신성·악마형,성수형,grass,legendary,🌳,false
quo,쿼카,0,성장기,quo,생물형,포유류형,grass,common,🐹,false
quo_l1,햇살쿼카,1,성숙기,quo,생물형,포유류형,light,common,☀️,false
quo_l2,미소요정,2,완전체,quo,신성·악마형,천사형,light,rare,😊,false
quo_l3,햇살정령신,3,궁극체,quo,신성·악마형,신인형,light,legendary,🌟,false
quo_g1,깡총쿼카,1,성숙기,quo,생물형,포유류형,grass,common,🐹,false
quo_g2,초원쿼카,2,완전체,quo,생물형,식물형,water,rare,🌿,false
quo_g3,풀숲요정,3,궁극체,quo,생물형,식물형,water,epic,🍀,false
red,레서판다,0,성장기,red,생물형,포유류형,grass,rare,🐼,false
red_f1,불꽃판다,1,성숙기,red,생물형,야수형,fire,rare,🔥,false
red_f2,화염판다,2,완전체,red,생물형,야수형,fire,epic,🐼,false
red_f3,화염판다신,3,궁극체,red,신성·악마형,신인형,fire,legendary,🔥,false
red_t1,단풍판다,1,성숙기,red,생물형,포유류형,wind,rare,🍁,false
red_t2,숲판다,2,완전체,red,생물형,식물형,water,epic,🌿,false
red_t3,숲의수호판다,3,궁극체,red,생물형,식물형,water,legendary,🌳,false
ott,수달,0,성장기,ott,생물형,수생형,water,common,🦦,false
ott_r1,강수달,1,성숙기,ott,생물형,수생형,water,common,🦦,false
ott_r2,급류수달,2,완전체,ott,생물형,수생형,water,rare,🌊,false
ott_r3,강의수신,3,궁극체,ott,신성·악마형,신인형,light,epic,🌊,false
ott_s1,해달,1,성숙기,ott,생물형,수생형,grass,common,🦦,false
ott_s2,산호해달,2,완전체,ott,생물형,수생형,water,rare,🪸,false
ott_s3,심해수호달,3,궁극체,ott,생물형,수생형,water,legendary,🐋,false
hog,고슴도치,0,성장기,hog,생물형,포유류형,grass,common,🦔,false
hog_m1,철갑도치,1,성숙기,hog,생물형,포유류형,earth,common,🦔,false
hog_m2,강철가시,2,완전체,hog,기계형,병기형,earth,rare,⚙️,false
hog_m3,철갑요새신,3,궁극체,hog,기계형,순수기계형,earth,epic,🛡️,false
hog_f1,불가시도치,1,성숙기,hog,생물형,야수형,fire,common,🔥,false
hog_f2,화염가시,2,완전체,hog,생물형,야수형,fire,rare,🦔,false
hog_f3,화염가시신,3,궁극체,hog,신성·악마형,신인형,fire,legendary,🔥,false
cha,카멜레온,0,성장기,cha,생물형,파충류형,grass,rare,🦎,false
cha_r1,무지개멜레온,1,성숙기,cha,혼합·이형형,이형형,neutral,rare,🌈,false
cha_r2,프리즘멜레온,2,완전체,cha,혼합·이형형,이형형,neutral,epic,💠,false
cha_r3,빛깔변환신,3,궁극체,cha,혼합·이형형,이형형,light,legendary,🌈,false
cha_d1,그림자멜레온,1,성숙기,cha,신성·악마형,악마형,dark,rare,🦎,false
cha_d2,암영멜레온,2,완전체,cha,신성·악마형,악마형,dark,epic,🌑,false
cha_d3,은신술사신,3,궁극체,cha,신성·악마형,마왕형,dark,legendary,👤,false
axo,아홀로틀,0,성장기,axo,생물형,양서류형,water,rare,🦎,false
axo_p1,분홍아홀로,1,성숙기,axo,생물형,양서류형,water,rare,🩷,false
axo_p2,산호아홀로,2,완전체,axo,생물형,수생형,water,epic,🪸,false
axo_p3,심해정령신,3,궁극체,axo,신성·악마형,신인형,water,legendary,🌊,false
axo_g1,황금아홀로,1,성숙기,axo,생물형,양서류형,water,rare,✨,false
axo_g2,빛나는아홀로,2,완전체,axo,신성·악마형,천사형,water,epic,🦎,false
axo_g3,재생의신,3,궁극체,axo,신성·악마형,신인형,light,legendary,🌟,false
shm,해마,0,성장기,shm,생물형,수생형,water,common,🌊,false
shm_c1,산호해마,1,성숙기,shm,생물형,수생형,water,common,🪸,false
shm_c2,진주해마,2,완전체,shm,생물형,수생형,water,rare,🌊,false
shm_c3,바다요정신,3,궁극체,shm,신성·악마형,신인형,water,epic,🧜,false
shm_d1,용해마,1,성숙기,shm,생물형,수생형,water,common,🐉,false
shm_d2,해룡마,2,완전체,shm,생물형,용형,water,rare,🐉,false
shm_d3,해마룡신,3,궁극체,shm,신성·악마형,신인형,water,legendary,🌊,false
man,쥐가오리,0,성장기,man,생물형,수생형,water,rare,🐟,false
man_m1,만타가오리,1,성숙기,man,생물형,수생형,water,rare,🌊,false
man_m2,심해만타,2,완전체,man,생물형,수생형,water,epic,🐋,false
man_m3,해류의신,3,궁극체,man,신성·악마형,신인형,light,legendary,🌊,false
man_d1,독가오리,1,성숙기,man,생물형,수생형,water,rare,🦈,false
man_d2,맹독가오리,2,완전체,man,신성·악마형,악마형,water,epic,☠️,false
man_d3,심연독왕,3,궁극체,man,신성·악마형,마왕형,dark,legendary,🌑,false
mts,아기사마귀,0,성장기,mts,생물형,곤충형,wind,common,🦗,false
mts_b1,낫사마귀,1,성숙기,mts,생물형,곤충형,wind,common,🦗,false
mts_b2,칼날사마귀,2,완전체,mts,생물형,곤충형,wind,rare,⚔️,false
mts_b3,사마귀검신,3,궁극체,mts,인간형,전사형,neutral,legendary,🗡️,false
mts_g1,풀사마귀,1,성숙기,mts,생물형,곤충형,grass,common,🌿,false
mts_g2,꽃사마귀,2,완전체,mts,생물형,곤충형,grass,rare,🌸,false
mts_g3,숲의사냥꾼,3,궁극체,mts,생물형,곤충형,grass,epic,🍃,false
stb,사슴벌레,0,성장기,stb,생물형,곤충형,wind,common,🪲,false
stb_m1,왕사슴벌레,1,성숙기,stb,생물형,곤충형,wind,common,🪲,false
stb_m2,강철집게,2,완전체,stb,기계형,병기형,earth,rare,⚙️,false
stb_m3,강철투왕,3,궁극체,stb,기계형,순수기계형,earth,epic,🛡️,false
stb_g1,숲사슴벌레,1,성숙기,stb,생물형,곤충형,grass,common,🌿,false
stb_g2,거목집게,2,완전체,stb,생물형,곤충형,wind,rare,🌳,false
stb_g3,숲의투신,3,궁극체,stb,생물형,곤충형,grass,legendary,👑,false
pea,공작,0,성장기,pea,생물형,조류형,wind,rare,🦚,false
pea_r1,무지개공작,1,성숙기,pea,생물형,조류형,wind,rare,🌈,false
pea_r2,프리즘공작,2,완전체,pea,혼합·이형형,이형형,neutral,epic,💠,false
pea_r3,오색공작신,3,궁극체,pea,혼합·이형형,이형형,neutral,legendary,🦚,false
pea_l1,햇살공작,1,성숙기,pea,생물형,조류형,wind,rare,☀️,false
pea_l2,광휘공작,2,완전체,pea,신성·악마형,천사형,light,epic,🦚,false
pea_l3,태양공작신,3,궁극체,pea,신성·악마형,신인형,light,legendary,🌞,false
owl,아기올빼미,0,성장기,owl,생물형,조류형,wind,common,🦉,false
owl_w1,현자올빼미,1,성숙기,owl,생물형,조류형,wind,common,🦉,false
owl_w2,지혜부엉이,2,완전체,owl,신성·악마형,천사형,light,rare,🦉,false
owl_w3,지혜의현자신,3,궁극체,owl,신성·악마형,신인형,light,legendary,🔮,false
owl_n1,밤올빼미,1,성숙기,owl,신성·악마형,악마형,dark,common,🌑,false
owl_n2,어둠부엉이,2,완전체,owl,신성·악마형,악마형,dark,rare,🦉,false
owl_n3,야행의마왕,3,궁극체,owl,신성·악마형,마왕형,dark,epic,👁️,false
mee,미어캣,0,성장기,mee,생물형,포유류형,grass,common,🦫,false
mee_s1,사막미어캣,1,성숙기,mee,생물형,포유류형,earth,common,🏜️,false
mee_s2,사막보초대장,2,완전체,mee,생물형,야수형,earth,rare,🦫,false
mee_s3,사막의수호신,3,궁극체,mee,신성·악마형,신인형,earth,epic,🏜️,false
mee_l1,햇살미어캣,1,성숙기,mee,생물형,포유류형,light,common,☀️,false
mee_l2,태양보초,2,완전체,mee,신성·악마형,천사형,light,rare,🦫,false
mee_l3,태양수호신,3,궁극체,mee,신성·악마형,신인형,light,legendary,🌞,false
pang,천산갑,0,성장기,pang,생물형,포유류형,grass,rare,🦔,false
pang_m1,철갑천산,1,성숙기,pang,생물형,포유류형,earth,rare,🦔,false
pang_m2,강철비늘갑,2,완전체,pang,기계형,거대로봇형,earth,epic,🦾,false
pang_m3,철갑요새신,3,궁극체,pang,기계형,순수기계형,earth,legendary,🛡️,false
pang_d1,어둠비늘,1,성숙기,pang,신성·악마형,악마형,earth,rare,🌑,false
pang_d2,암흑갑주,2,완전체,pang,신성·악마형,악마형,dark,epic,🦇,false
pang_d3,암흑수호룡,3,궁극체,pang,신성·악마형,마왕형,dark,legendary,🐉,false
ele,아기코끼리,0,성장기,ele,생물형,포유류형,grass,rare,🐘,false
ele_w1,분수코끼리,1,성숙기,ele,생물형,포유류형,water,rare,💦,false
ele_w2,물의거상,2,완전체,ele,생물형,거인형,water,epic,🐘,false
ele_w3,수신상,3,궁극체,ele,신성·악마형,신인형,light,legendary,🌊,false
ele_e1,바위코끼리,1,성숙기,ele,생물형,포유류형,earth,rare,🐘,false
ele_e2,대지거상,2,완전체,ele,생물형,거인형,earth,epic,🏔️,false
ele_e3,대지상왕,3,궁극체,ele,신성·악마형,신인형,earth,legendary,🌍,false
gir,아기기린,0,성장기,gir,생물형,포유류형,grass,common,🦒,false
gir_l1,햇살기린,1,성숙기,gir,생물형,포유류형,light,common,☀️,false
gir_l2,초원기린,2,완전체,gir,생물형,식물형,water,rare,🦒,false
gir_l3,초원의수호기린,3,궁극체,gir,신성·악마형,성수형,grass,epic,🌿,false
gir_t1,숲기린,1,성숙기,gir,생물형,식물형,water,common,🌿,false
gir_t2,거목기린,2,완전체,gir,생물형,식물형,water,rare,🌳,false
gir_t3,세계수기린,3,궁극체,gir,신성·악마형,성수형,light,legendary,🌳,false
rhi,아기코뿔소,0,성장기,rhi,생물형,포유류형,grass,common,🦏,false
rhi_m1,강철코뿔,1,성숙기,rhi,생물형,야수형,earth,common,🦏,false
rhi_m2,중장갑코뿔,2,완전체,rhi,기계형,병기형,earth,rare,🦾,false
rhi_m3,강철돌격왕,3,궁극체,rhi,기계형,순수기계형,earth,legendary,🛡️,false
rhi_f1,화염코뿔,1,성숙기,rhi,생물형,야수형,fire,common,🔥,false
rhi_f2,용암코뿔,2,완전체,rhi,생물형,야수형,fire,rare,🦏,false
rhi_f3,화염돌진신,3,궁극체,rhi,신성·악마형,신인형,fire,epic,🌋,false
hip,아기하마,0,성장기,hip,생물형,포유류형,grass,common,🦛,false
hip_w1,물하마,1,성숙기,hip,생물형,수생형,water,common,🦛,false
hip_w2,호수하마,2,완전체,hip,생물형,수생형,water,rare,🌊,false
hip_w3,수신하마,3,궁극체,hip,신성·악마형,신인형,light,epic,🌊,false
hip_d1,어둠하마,1,성숙기,hip,신성·악마형,악마형,dark,common,🌑,false
hip_d2,심연하마,2,완전체,hip,신성·악마형,악마형,dark,rare,🦛,false
hip_d3,늪의마수,3,궁극체,hip,신성·악마형,마왕형,water,legendary,👹,false
cam,아기낙타,0,성장기,cam,생물형,포유류형,grass,common,🐫,false
cam_s1,사막낙타,1,성숙기,cam,생물형,포유류형,earth,common,🏜️,false
cam_s2,모래폭풍낙타,2,완전체,cam,생물형,야수형,wind,rare,🐫,false
cam_s3,사막의대상왕,3,궁극체,cam,신성·악마형,신인형,earth,epic,🏜️,false
cam_l1,햇살낙타,1,성숙기,cam,생물형,포유류형,light,common,☀️,false
cam_l2,오아시스낙타,2,완전체,cam,생물형,포유류형,grass,rare,🐫,false
cam_l3,태양대상신,3,궁극체,cam,신성·악마형,신인형,light,legendary,🌞,false
kan,아기캥거루,0,성장기,kan,생물형,포유류형,grass,common,🦘,false
kan_f1,불꽃권투루,1,성숙기,kan,생물형,야수형,fire,common,🔥,false
kan_f2,화염복서,2,완전체,kan,인간형,전사형,fire,rare,🥊,false
kan_f3,불꽃투신,3,궁극체,kan,인간형,전사형,fire,legendary,🥊,false
kan_g1,초원캥거루,1,성숙기,kan,생물형,포유류형,grass,common,🌿,false
kan_g2,들판질주루,2,완전체,kan,생물형,야수형,grass,rare,🦘,false
kan_g3,초원질주신,3,궁극체,kan,생물형,야수형,grass,epic,🍃,false
gor,아기고릴라,0,성장기,gor,생물형,포유류형,grass,rare,🦍,false
gor_m1,강철고릴라,1,성숙기,gor,생물형,야수형,earth,rare,🦍,false
gor_m2,중장갑고릴라,2,완전체,gor,기계형,거대로봇형,earth,epic,🦾,false
gor_m3,강철패왕,3,궁극체,gor,기계형,순수기계형,earth,legendary,🛡️,false
gor_l1,빛의고릴라,1,성숙기,gor,생물형,야수형,light,rare,✨,false
gor_l2,수호고릴라,2,완전체,gor,신성·악마형,천사형,light,epic,🦍,false
gor_l3,정글수호신,3,궁극체,gor,신성·악마형,신인형,light,legendary,🌟,false
mon,아기원숭이,0,성장기,mon,생물형,포유류형,grass,common,🐒,false
mon_f1,불원숭이,1,성숙기,mon,생물형,야수형,fire,common,🔥,false
